
Type,Seq,Time,Elapsed,Duration,Request,Request Details,Raw Data,I/O,C:I:E,Device Object,Device Name,Driver Name,IRP,Status
START,0001,16:41:06.868,,,,,,,,,,,,
PnP,0002,16:41:11.654,4.786492 s,,Start Device,,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA8009908010h,
PnP,0003,16:41:11.654,4.786497 s,,Start Device,,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA8009908010h,
PnP,0004-0003,16:41:11.654,4.786661 s,164 us,Start Device,,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA8009908010h,Success
PnP,0005,16:41:11.654,4.786669 s,,Query Interface,USB Generic Parent Driver,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA800AB4EC10h,
PnP,0006,16:41:11.654,4.786673 s,,Query Interface,USB Generic Parent Driver,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800AB4EC10h,
PnP,0007-0006,16:41:11.654,4.786677 s,4 us,Query Interface,USB Generic Parent Driver,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800AB4EC10h,Not Supported
PnP,0008-0005,16:41:11.654,4.786679 s,10 us,Query Interface,USB Generic Parent Driver,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA800AB4EC10h,Not Supported
URB,0009,16:41:11.654,4.786697 s,,Get Descriptor from Device,Dvc,,in,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800ABAABA0h,
URB,0010-0009,16:41:11.654,4.786895 s,198 us,Control Transfer,Get Descriptor (Dvc),12 01 10 01 00 00 00 40...,in,--:--:00,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800ABAABA0h,Success (Success),12 01 10 01 00 00 00 40 38 10 84 13 04 01 01 02 00 01
URB,0011,16:41:11.654,4.786913 s,,Get Descriptor from Device,Cfg ind:0,,in,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800ABAABA0h,
URB,0012-0011,16:41:11.655,4.787139 s,226 us,Control Transfer,Get Descriptor (Cfg ind:0),09 02 6D 00 04 01 00 A0...,in,--:--:00,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800ABAABA0h,Success (Success),09 02 6D 00 04 01 00 A0 64
URB,0013,16:41:11.655,4.787158 s,,Get Descriptor from Device,Cfg ind:0,,in,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800ABAABA0h,
URB,0014-0013,16:41:11.655,4.787766 s,608 us,Control Transfer,Get Descriptor (Cfg ind:0),09 02 6D 00 04 01 00 A0...,in,--:--:00,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800ABAABA0h,Success (Success),09 02 6D 00 04 01 00 A0 64 09 04 00 00 01 03 00 00 00 09 21 11 01 00 01 22 25 00 07 05 81 03 20 00 01 09 04 01 00 01 03 01 02 00 09 21 11 01 00 01 22 4A 00 07 05 82 03 08 00 01 09 04 02 00 01 03 01 01 00 09 21 11 01 00 01 22 2F 00 07 05 83 03 08 00 01 09 04 03 00 01 03 00 01 00 09 21 11 01 00 01 22 19 00 07 05 84 03 04 00 01
PnP,0015,16:41:11.655,4.787786 s,,Query Capabilities,,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800ABAABA0h,
PnP,0016-0015,16:41:11.655,4.787789 s,3 us,Query Capabilities,,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800ABAABA0h,Success
URB,0017,16:41:11.655,4.787793 s,,Select Configuration,1,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800ABAABA0h,
URB,0018-0017,16:41:11.656,4.788188 s,395 us,Select Configuration,1,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800ABAABA0h,Success (Success)
DROP,0019,16:41:11.656,,,,,,,,,,,,
PnP,0020-0002,16:41:11.656,4.788288 s,1.795 ms,Start Device,,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA8009908010h,Success
PnP,0021,16:41:11.656,4.788371 s,,Query Capabilities,,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA8009908010h,
PnP,0022,16:41:11.656,4.788374 s,,Query Capabilities,,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA8009908010h,
PnP,0023-0022,16:41:11.656,4.788376 s,2 us,Query Capabilities,,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA8009908010h,Success
PnP,0024-0021,16:41:11.656,4.788378 s,7 us,Query Capabilities,,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA8009908010h,Success
PnP,0025,16:41:11.656,4.788392 s,,Query Pnp Device State,,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA8009908010h,
PnP,0026,16:41:11.656,4.788395 s,,Query Pnp Device State,,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA8009908010h,
PnP,0027-0026,16:41:11.656,4.788396 s,2 us,Query Pnp Device State,,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA8009908010h,Not Supported
PnP,0028-0025,16:41:11.656,4.788398 s,6 us,Query Pnp Device State,,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA8009908010h,Not Supported
PnP,0029,16:41:11.656,4.788404 s,,Query Device Relations,Bus Relations,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA8009908010h,
PnP,0030,16:41:11.656,4.788407 s,,Query Device Relations,Bus Relations,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA8009908010h,
PnP,0031-0030,16:41:11.656,4.788408 s,1 us,Query Device Relations,Bus Relations,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA8009908010h,Success
PnP,0032-0029,16:41:11.656,4.788412 s,8 us,Query Device Relations,Bus Relations,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA8009908010h,Success
